row_id,prompt,label
0,"You are an expert math educator analyzing student responses for mathematical misconceptions.

Question: What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]
Correct Answer: \( \frac{1}{3} \)
Student's Explanation: 0ne third is equal to tree nineth

CLASSIFICATION GUIDELINES:
• True_Correct:NA = Student demonstrates correct understanding
• False_Correct:NA = Student gives correct answer but for wrong reasons  
• True_Neither:NA = Correct answer but unclear/incomplete reasoning
• False_Neither:NA = Incorrect answer but no specific misconception identified
• True_Misconception:[Type] = Correct answer but demonstrates specific misconception
• False_Misconception:[Type] = Incorrect answer with identifiable misconception

TASK: Classify this student's response using EXACTLY ONE of these 65 labels:

- False_Correct:NA
- False_Misconception:Adding_across
- False_Misconception:Adding_terms
- False_Misconception:Additive
- False_Misconception:Base_rate
- False_Misconception:Certainty
- False_Misconception:Definition
- False_Misconception:Denominator-only_change
- False_Misconception:Division
- False_Misconception:Duplication
- False_Misconception:Firstterm
- False_Misconception:FlipChange
- False_Misconception:Ignores_zeroes
- False_Misconception:Incomplete
- False_Misconception:Incorrect_equivalent_fraction_addition
- False_Misconception:Interior
- False_Misconception:Inverse_operation
- False_Misconception:Inversion
- False_Misconception:Irrelevant
- False_Misconception:Longer_is_bigger
- False_Misconception:Mult
- False_Misconception:Multiplying_by_4
- False_Misconception:Not_variable
- False_Misconception:Positive
- False_Misconception:Scale
- False_Misconception:Shorter_is_bigger
- False_Misconception:Subtraction
- False_Misconception:SwapDividend
- False_Misconception:Tacking
- False_Misconception:Unknowable
- False_Misconception:WNB
- False_Misconception:Whole_numbers_larger
- False_Misconception:Wrong_Fraction
- False_Misconception:Wrong_Operation
- False_Misconception:Wrong_fraction
- False_Misconception:Wrong_term
- False_Neither:NA
- True_Correct:NA
- True_Misconception:Adding_across
- True_Misconception:Additive
- True_Misconception:Base_rate
- True_Misconception:Definition
- True_Misconception:Denominator-only_change
- True_Misconception:Division
- True_Misconception:Duplication
- True_Misconception:Firstterm
- True_Misconception:FlipChange
- True_Misconception:Incomplete
- True_Misconception:Incorrect_equivalent_fraction_addition
- True_Misconception:Inversion
- True_Misconception:Irrelevant
- True_Misconception:Longer_is_bigger
- True_Misconception:Mult
- True_Misconception:Multiplying_by_4
- True_Misconception:Not_variable
- True_Misconception:Positive
- True_Misconception:Shorter_is_bigger
- True_Misconception:Subtraction
- True_Misconception:SwapDividend
- True_Misconception:Tacking
- True_Misconception:WNB
- True_Misconception:Whole_numbers_larger
- True_Misconception:Wrong_fraction
- True_Misconception:Wrong_term
- True_Neither:NA

Classification:",True_Correct:NA
1,"You are an expert math educator analyzing student responses for mathematical misconceptions.

Question: What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]
Correct Answer: \( \frac{1}{3} \)
Student's Explanation: 1 / 3 because 6 over 9 is 2 thirds and 1 third is not shaded.

CLASSIFICATION GUIDELINES:
• True_Correct:NA = Student demonstrates correct understanding
• False_Correct:NA = Student gives correct answer but for wrong reasons  
• True_Neither:NA = Correct answer but unclear/incomplete reasoning
• False_Neither:NA = Incorrect answer but no specific misconception identified
• True_Misconception:[Type] = Correct answer but demonstrates specific misconception
• False_Misconception:[Type] = Incorrect answer with identifiable misconception

TASK: Classify this student's response using EXACTLY ONE of these 65 labels:

- False_Correct:NA
- False_Misconception:Adding_across
- False_Misconception:Adding_terms
- False_Misconception:Additive
- False_Misconception:Base_rate
- False_Misconception:Certainty
- False_Misconception:Definition
- False_Misconception:Denominator-only_change
- False_Misconception:Division
- False_Misconception:Duplication
- False_Misconception:Firstterm
- False_Misconception:FlipChange
- False_Misconception:Ignores_zeroes
- False_Misconception:Incomplete
- False_Misconception:Incorrect_equivalent_fraction_addition
- False_Misconception:Interior
- False_Misconception:Inverse_operation
- False_Misconception:Inversion
- False_Misconception:Irrelevant
- False_Misconception:Longer_is_bigger
- False_Misconception:Mult
- False_Misconception:Multiplying_by_4
- False_Misconception:Not_variable
- False_Misconception:Positive
- False_Misconception:Scale
- False_Misconception:Shorter_is_bigger
- False_Misconception:Subtraction
- False_Misconception:SwapDividend
- False_Misconception:Tacking
- False_Misconception:Unknowable
- False_Misconception:WNB
- False_Misconception:Whole_numbers_larger
- False_Misconception:Wrong_Fraction
- False_Misconception:Wrong_Operation
- False_Misconception:Wrong_fraction
- False_Misconception:Wrong_term
- False_Neither:NA
- True_Correct:NA
- True_Misconception:Adding_across
- True_Misconception:Additive
- True_Misconception:Base_rate
- True_Misconception:Definition
- True_Misconception:Denominator-only_change
- True_Misconception:Division
- True_Misconception:Duplication
- True_Misconception:Firstterm
- True_Misconception:FlipChange
- True_Misconception:Incomplete
- True_Misconception:Incorrect_equivalent_fraction_addition
- True_Misconception:Inversion
- True_Misconception:Irrelevant
- True_Misconception:Longer_is_bigger
- True_Misconception:Mult
- True_Misconception:Multiplying_by_4
- True_Misconception:Not_variable
- True_Misconception:Positive
- True_Misconception:Shorter_is_bigger
- True_Misconception:Subtraction
- True_Misconception:SwapDividend
- True_Misconception:Tacking
- True_Misconception:WNB
- True_Misconception:Whole_numbers_larger
- True_Misconception:Wrong_fraction
- True_Misconception:Wrong_term
- True_Neither:NA

Classification:",True_Correct:NA
2,"You are an expert math educator analyzing student responses for mathematical misconceptions.

Question: What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]
Correct Answer: \( \frac{1}{3} \)
Student's Explanation: 1 3rd is half of 3 6th, so it is simplee to understand.

CLASSIFICATION GUIDELINES:
• True_Correct:NA = Student demonstrates correct understanding
• False_Correct:NA = Student gives correct answer but for wrong reasons  
• True_Neither:NA = Correct answer but unclear/incomplete reasoning
• False_Neither:NA = Incorrect answer but no specific misconception identified
• True_Misconception:[Type] = Correct answer but demonstrates specific misconception
• False_Misconception:[Type] = Incorrect answer with identifiable misconception

TASK: Classify this student's response using EXACTLY ONE of these 65 labels:

- False_Correct:NA
- False_Misconception:Adding_across
- False_Misconception:Adding_terms
- False_Misconception:Additive
- False_Misconception:Base_rate
- False_Misconception:Certainty
- False_Misconception:Definition
- False_Misconception:Denominator-only_change
- False_Misconception:Division
- False_Misconception:Duplication
- False_Misconception:Firstterm
- False_Misconception:FlipChange
- False_Misconception:Ignores_zeroes
- False_Misconception:Incomplete
- False_Misconception:Incorrect_equivalent_fraction_addition
- False_Misconception:Interior
- False_Misconception:Inverse_operation
- False_Misconception:Inversion
- False_Misconception:Irrelevant
- False_Misconception:Longer_is_bigger
- False_Misconception:Mult
- False_Misconception:Multiplying_by_4
- False_Misconception:Not_variable
- False_Misconception:Positive
- False_Misconception:Scale
- False_Misconception:Shorter_is_bigger
- False_Misconception:Subtraction
- False_Misconception:SwapDividend
- False_Misconception:Tacking
- False_Misconception:Unknowable
- False_Misconception:WNB
- False_Misconception:Whole_numbers_larger
- False_Misconception:Wrong_Fraction
- False_Misconception:Wrong_Operation
- False_Misconception:Wrong_fraction
- False_Misconception:Wrong_term
- False_Neither:NA
- True_Correct:NA
- True_Misconception:Adding_across
- True_Misconception:Additive
- True_Misconception:Base_rate
- True_Misconception:Definition
- True_Misconception:Denominator-only_change
- True_Misconception:Division
- True_Misconception:Duplication
- True_Misconception:Firstterm
- True_Misconception:FlipChange
- True_Misconception:Incomplete
- True_Misconception:Incorrect_equivalent_fraction_addition
- True_Misconception:Inversion
- True_Misconception:Irrelevant
- True_Misconception:Longer_is_bigger
- True_Misconception:Mult
- True_Misconception:Multiplying_by_4
- True_Misconception:Not_variable
- True_Misconception:Positive
- True_Misconception:Shorter_is_bigger
- True_Misconception:Subtraction
- True_Misconception:SwapDividend
- True_Misconception:Tacking
- True_Misconception:WNB
- True_Misconception:Whole_numbers_larger
- True_Misconception:Wrong_fraction
- True_Misconception:Wrong_term
- True_Neither:NA

Classification:",True_Neither:NA
3,"You are an expert math educator analyzing student responses for mathematical misconceptions.

Question: What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]
Correct Answer: \( \frac{1}{3} \)
Student's Explanation: 1 goes into everything and 3 goes into nine

CLASSIFICATION GUIDELINES:
• True_Correct:NA = Student demonstrates correct understanding
• False_Correct:NA = Student gives correct answer but for wrong reasons  
• True_Neither:NA = Correct answer but unclear/incomplete reasoning
• False_Neither:NA = Incorrect answer but no specific misconception identified
• True_Misconception:[Type] = Correct answer but demonstrates specific misconception
• False_Misconception:[Type] = Incorrect answer with identifiable misconception

TASK: Classify this student's response using EXACTLY ONE of these 65 labels:

- False_Correct:NA
- False_Misconception:Adding_across
- False_Misconception:Adding_terms
- False_Misconception:Additive
- False_Misconception:Base_rate
- False_Misconception:Certainty
- False_Misconception:Definition
- False_Misconception:Denominator-only_change
- False_Misconception:Division
- False_Misconception:Duplication
- False_Misconception:Firstterm
- False_Misconception:FlipChange
- False_Misconception:Ignores_zeroes
- False_Misconception:Incomplete
- False_Misconception:Incorrect_equivalent_fraction_addition
- False_Misconception:Interior
- False_Misconception:Inverse_operation
- False_Misconception:Inversion
- False_Misconception:Irrelevant
- False_Misconception:Longer_is_bigger
- False_Misconception:Mult
- False_Misconception:Multiplying_by_4
- False_Misconception:Not_variable
- False_Misconception:Positive
- False_Misconception:Scale
- False_Misconception:Shorter_is_bigger
- False_Misconception:Subtraction
- False_Misconception:SwapDividend
- False_Misconception:Tacking
- False_Misconception:Unknowable
- False_Misconception:WNB
- False_Misconception:Whole_numbers_larger
- False_Misconception:Wrong_Fraction
- False_Misconception:Wrong_Operation
- False_Misconception:Wrong_fraction
- False_Misconception:Wrong_term
- False_Neither:NA
- True_Correct:NA
- True_Misconception:Adding_across
- True_Misconception:Additive
- True_Misconception:Base_rate
- True_Misconception:Definition
- True_Misconception:Denominator-only_change
- True_Misconception:Division
- True_Misconception:Duplication
- True_Misconception:Firstterm
- True_Misconception:FlipChange
- True_Misconception:Incomplete
- True_Misconception:Incorrect_equivalent_fraction_addition
- True_Misconception:Inversion
- True_Misconception:Irrelevant
- True_Misconception:Longer_is_bigger
- True_Misconception:Mult
- True_Misconception:Multiplying_by_4
- True_Misconception:Not_variable
- True_Misconception:Positive
- True_Misconception:Shorter_is_bigger
- True_Misconception:Subtraction
- True_Misconception:SwapDividend
- True_Misconception:Tacking
- True_Misconception:WNB
- True_Misconception:Whole_numbers_larger
- True_Misconception:Wrong_fraction
- True_Misconception:Wrong_term
- True_Neither:NA

Classification:",True_Neither:NA
4,"You are an expert math educator analyzing student responses for mathematical misconceptions.

Question: What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]
Correct Answer: \( \frac{1}{3} \)
Student's Explanation: 1 out of every 3 isn't coloured

CLASSIFICATION GUIDELINES:
• True_Correct:NA = Student demonstrates correct understanding
• False_Correct:NA = Student gives correct answer but for wrong reasons  
• True_Neither:NA = Correct answer but unclear/incomplete reasoning
• False_Neither:NA = Incorrect answer but no specific misconception identified
• True_Misconception:[Type] = Correct answer but demonstrates specific misconception
• False_Misconception:[Type] = Incorrect answer with identifiable misconception

TASK: Classify this student's response using EXACTLY ONE of these 65 labels:

- False_Correct:NA
- False_Misconception:Adding_across
- False_Misconception:Adding_terms
- False_Misconception:Additive
- False_Misconception:Base_rate
- False_Misconception:Certainty
- False_Misconception:Definition
- False_Misconception:Denominator-only_change
- False_Misconception:Division
- False_Misconception:Duplication
- False_Misconception:Firstterm
- False_Misconception:FlipChange
- False_Misconception:Ignores_zeroes
- False_Misconception:Incomplete
- False_Misconception:Incorrect_equivalent_fraction_addition
- False_Misconception:Interior
- False_Misconception:Inverse_operation
- False_Misconception:Inversion
- False_Misconception:Irrelevant
- False_Misconception:Longer_is_bigger
- False_Misconception:Mult
- False_Misconception:Multiplying_by_4
- False_Misconception:Not_variable
- False_Misconception:Positive
- False_Misconception:Scale
- False_Misconception:Shorter_is_bigger
- False_Misconception:Subtraction
- False_Misconception:SwapDividend
- False_Misconception:Tacking
- False_Misconception:Unknowable
- False_Misconception:WNB
- False_Misconception:Whole_numbers_larger
- False_Misconception:Wrong_Fraction
- False_Misconception:Wrong_Operation
- False_Misconception:Wrong_fraction
- False_Misconception:Wrong_term
- False_Neither:NA
- True_Correct:NA
- True_Misconception:Adding_across
- True_Misconception:Additive
- True_Misconception:Base_rate
- True_Misconception:Definition
- True_Misconception:Denominator-only_change
- True_Misconception:Division
- True_Misconception:Duplication
- True_Misconception:Firstterm
- True_Misconception:FlipChange
- True_Misconception:Incomplete
- True_Misconception:Incorrect_equivalent_fraction_addition
- True_Misconception:Inversion
- True_Misconception:Irrelevant
- True_Misconception:Longer_is_bigger
- True_Misconception:Mult
- True_Misconception:Multiplying_by_4
- True_Misconception:Not_variable
- True_Misconception:Positive
- True_Misconception:Shorter_is_bigger
- True_Misconception:Subtraction
- True_Misconception:SwapDividend
- True_Misconception:Tacking
- True_Misconception:WNB
- True_Misconception:Whole_numbers_larger
- True_Misconception:Wrong_fraction
- True_Misconception:Wrong_term
- True_Neither:NA

Classification:",True_Correct:NA
5,"You are an expert math educator analyzing student responses for mathematical misconceptions.

Question: What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]
Correct Answer: \( \frac{1}{3} \)
Student's Explanation: 1 third because 6 over 9 is 2 thirds and 1 third is not shaded

CLASSIFICATION GUIDELINES:
• True_Correct:NA = Student demonstrates correct understanding
• False_Correct:NA = Student gives correct answer but for wrong reasons  
• True_Neither:NA = Correct answer but unclear/incomplete reasoning
• False_Neither:NA = Incorrect answer but no specific misconception identified
• True_Misconception:[Type] = Correct answer but demonstrates specific misconception
• False_Misconception:[Type] = Incorrect answer with identifiable misconception

TASK: Classify this student's response using EXACTLY ONE of these 65 labels:

- False_Correct:NA
- False_Misconception:Adding_across
- False_Misconception:Adding_terms
- False_Misconception:Additive
- False_Misconception:Base_rate
- False_Misconception:Certainty
- False_Misconception:Definition
- False_Misconception:Denominator-only_change
- False_Misconception:Division
- False_Misconception:Duplication
- False_Misconception:Firstterm
- False_Misconception:FlipChange
- False_Misconception:Ignores_zeroes
- False_Misconception:Incomplete
- False_Misconception:Incorrect_equivalent_fraction_addition
- False_Misconception:Interior
- False_Misconception:Inverse_operation
- False_Misconception:Inversion
- False_Misconception:Irrelevant
- False_Misconception:Longer_is_bigger
- False_Misconception:Mult
- False_Misconception:Multiplying_by_4
- False_Misconception:Not_variable
- False_Misconception:Positive
- False_Misconception:Scale
- False_Misconception:Shorter_is_bigger
- False_Misconception:Subtraction
- False_Misconception:SwapDividend
- False_Misconception:Tacking
- False_Misconception:Unknowable
- False_Misconception:WNB
- False_Misconception:Whole_numbers_larger
- False_Misconception:Wrong_Fraction
- False_Misconception:Wrong_Operation
- False_Misconception:Wrong_fraction
- False_Misconception:Wrong_term
- False_Neither:NA
- True_Correct:NA
- True_Misconception:Adding_across
- True_Misconception:Additive
- True_Misconception:Base_rate
- True_Misconception:Definition
- True_Misconception:Denominator-only_change
- True_Misconception:Division
- True_Misconception:Duplication
- True_Misconception:Firstterm
- True_Misconception:FlipChange
- True_Misconception:Incomplete
- True_Misconception:Incorrect_equivalent_fraction_addition
- True_Misconception:Inversion
- True_Misconception:Irrelevant
- True_Misconception:Longer_is_bigger
- True_Misconception:Mult
- True_Misconception:Multiplying_by_4
- True_Misconception:Not_variable
- True_Misconception:Positive
- True_Misconception:Shorter_is_bigger
- True_Misconception:Subtraction
- True_Misconception:SwapDividend
- True_Misconception:Tacking
- True_Misconception:WNB
- True_Misconception:Whole_numbers_larger
- True_Misconception:Wrong_fraction
- True_Misconception:Wrong_term
- True_Neither:NA

Classification:",True_Correct:NA
6,"You are an expert math educator analyzing student responses for mathematical misconceptions.

Question: What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]
Correct Answer: \( \frac{1}{3} \)
Student's Explanation: 1/3 and 3/9 are not shaded but they are equal to 1/3.

CLASSIFICATION GUIDELINES:
• True_Correct:NA = Student demonstrates correct understanding
• False_Correct:NA = Student gives correct answer but for wrong reasons  
• True_Neither:NA = Correct answer but unclear/incomplete reasoning
• False_Neither:NA = Incorrect answer but no specific misconception identified
• True_Misconception:[Type] = Correct answer but demonstrates specific misconception
• False_Misconception:[Type] = Incorrect answer with identifiable misconception

TASK: Classify this student's response using EXACTLY ONE of these 65 labels:

- False_Correct:NA
- False_Misconception:Adding_across
- False_Misconception:Adding_terms
- False_Misconception:Additive
- False_Misconception:Base_rate
- False_Misconception:Certainty
- False_Misconception:Definition
- False_Misconception:Denominator-only_change
- False_Misconception:Division
- False_Misconception:Duplication
- False_Misconception:Firstterm
- False_Misconception:FlipChange
- False_Misconception:Ignores_zeroes
- False_Misconception:Incomplete
- False_Misconception:Incorrect_equivalent_fraction_addition
- False_Misconception:Interior
- False_Misconception:Inverse_operation
- False_Misconception:Inversion
- False_Misconception:Irrelevant
- False_Misconception:Longer_is_bigger
- False_Misconception:Mult
- False_Misconception:Multiplying_by_4
- False_Misconception:Not_variable
- False_Misconception:Positive
- False_Misconception:Scale
- False_Misconception:Shorter_is_bigger
- False_Misconception:Subtraction
- False_Misconception:SwapDividend
- False_Misconception:Tacking
- False_Misconception:Unknowable
- False_Misconception:WNB
- False_Misconception:Whole_numbers_larger
- False_Misconception:Wrong_Fraction
- False_Misconception:Wrong_Operation
- False_Misconception:Wrong_fraction
- False_Misconception:Wrong_term
- False_Neither:NA
- True_Correct:NA
- True_Misconception:Adding_across
- True_Misconception:Additive
- True_Misconception:Base_rate
- True_Misconception:Definition
- True_Misconception:Denominator-only_change
- True_Misconception:Division
- True_Misconception:Duplication
- True_Misconception:Firstterm
- True_Misconception:FlipChange
- True_Misconception:Incomplete
- True_Misconception:Incorrect_equivalent_fraction_addition
- True_Misconception:Inversion
- True_Misconception:Irrelevant
- True_Misconception:Longer_is_bigger
- True_Misconception:Mult
- True_Misconception:Multiplying_by_4
- True_Misconception:Not_variable
- True_Misconception:Positive
- True_Misconception:Shorter_is_bigger
- True_Misconception:Subtraction
- True_Misconception:SwapDividend
- True_Misconception:Tacking
- True_Misconception:WNB
- True_Misconception:Whole_numbers_larger
- True_Misconception:Wrong_fraction
- True_Misconception:Wrong_term
- True_Neither:NA

Classification:",True_Correct:NA
7,"You are an expert math educator analyzing student responses for mathematical misconceptions.

Question: What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]
Correct Answer: \( \frac{1}{3} \)
Student's Explanation: 1/3 because 3/9 simplified divided by 3 would be 1/3

CLASSIFICATION GUIDELINES:
• True_Correct:NA = Student demonstrates correct understanding
• False_Correct:NA = Student gives correct answer but for wrong reasons  
• True_Neither:NA = Correct answer but unclear/incomplete reasoning
• False_Neither:NA = Incorrect answer but no specific misconception identified
• True_Misconception:[Type] = Correct answer but demonstrates specific misconception
• False_Misconception:[Type] = Incorrect answer with identifiable misconception

TASK: Classify this student's response using EXACTLY ONE of these 65 labels:

- False_Correct:NA
- False_Misconception:Adding_across
- False_Misconception:Adding_terms
- False_Misconception:Additive
- False_Misconception:Base_rate
- False_Misconception:Certainty
- False_Misconception:Definition
- False_Misconception:Denominator-only_change
- False_Misconception:Division
- False_Misconception:Duplication
- False_Misconception:Firstterm
- False_Misconception:FlipChange
- False_Misconception:Ignores_zeroes
- False_Misconception:Incomplete
- False_Misconception:Incorrect_equivalent_fraction_addition
- False_Misconception:Interior
- False_Misconception:Inverse_operation
- False_Misconception:Inversion
- False_Misconception:Irrelevant
- False_Misconception:Longer_is_bigger
- False_Misconception:Mult
- False_Misconception:Multiplying_by_4
- False_Misconception:Not_variable
- False_Misconception:Positive
- False_Misconception:Scale
- False_Misconception:Shorter_is_bigger
- False_Misconception:Subtraction
- False_Misconception:SwapDividend
- False_Misconception:Tacking
- False_Misconception:Unknowable
- False_Misconception:WNB
- False_Misconception:Whole_numbers_larger
- False_Misconception:Wrong_Fraction
- False_Misconception:Wrong_Operation
- False_Misconception:Wrong_fraction
- False_Misconception:Wrong_term
- False_Neither:NA
- True_Correct:NA
- True_Misconception:Adding_across
- True_Misconception:Additive
- True_Misconception:Base_rate
- True_Misconception:Definition
- True_Misconception:Denominator-only_change
- True_Misconception:Division
- True_Misconception:Duplication
- True_Misconception:Firstterm
- True_Misconception:FlipChange
- True_Misconception:Incomplete
- True_Misconception:Incorrect_equivalent_fraction_addition
- True_Misconception:Inversion
- True_Misconception:Irrelevant
- True_Misconception:Longer_is_bigger
- True_Misconception:Mult
- True_Misconception:Multiplying_by_4
- True_Misconception:Not_variable
- True_Misconception:Positive
- True_Misconception:Shorter_is_bigger
- True_Misconception:Subtraction
- True_Misconception:SwapDividend
- True_Misconception:Tacking
- True_Misconception:WNB
- True_Misconception:Whole_numbers_larger
- True_Misconception:Wrong_fraction
- True_Misconception:Wrong_term
- True_Neither:NA

Classification:",True_Correct:NA
8,"You are an expert math educator analyzing student responses for mathematical misconceptions.

Question: What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]
Correct Answer: \( \frac{1}{3} \)
Student's Explanation: 1/3 because I worked out that 3/9 were not shaded and because 3 and 9 have a common factor of 3, I divided the numerator and denominator by 3 to give me 1/3

CLASSIFICATION GUIDELINES:
• True_Correct:NA = Student demonstrates correct understanding
• False_Correct:NA = Student gives correct answer but for wrong reasons  
• True_Neither:NA = Correct answer but unclear/incomplete reasoning
• False_Neither:NA = Incorrect answer but no specific misconception identified
• True_Misconception:[Type] = Correct answer but demonstrates specific misconception
• False_Misconception:[Type] = Incorrect answer with identifiable misconception

TASK: Classify this student's response using EXACTLY ONE of these 65 labels:

- False_Correct:NA
- False_Misconception:Adding_across
- False_Misconception:Adding_terms
- False_Misconception:Additive
- False_Misconception:Base_rate
- False_Misconception:Certainty
- False_Misconception:Definition
- False_Misconception:Denominator-only_change
- False_Misconception:Division
- False_Misconception:Duplication
- False_Misconception:Firstterm
- False_Misconception:FlipChange
- False_Misconception:Ignores_zeroes
- False_Misconception:Incomplete
- False_Misconception:Incorrect_equivalent_fraction_addition
- False_Misconception:Interior
- False_Misconception:Inverse_operation
- False_Misconception:Inversion
- False_Misconception:Irrelevant
- False_Misconception:Longer_is_bigger
- False_Misconception:Mult
- False_Misconception:Multiplying_by_4
- False_Misconception:Not_variable
- False_Misconception:Positive
- False_Misconception:Scale
- False_Misconception:Shorter_is_bigger
- False_Misconception:Subtraction
- False_Misconception:SwapDividend
- False_Misconception:Tacking
- False_Misconception:Unknowable
- False_Misconception:WNB
- False_Misconception:Whole_numbers_larger
- False_Misconception:Wrong_Fraction
- False_Misconception:Wrong_Operation
- False_Misconception:Wrong_fraction
- False_Misconception:Wrong_term
- False_Neither:NA
- True_Correct:NA
- True_Misconception:Adding_across
- True_Misconception:Additive
- True_Misconception:Base_rate
- True_Misconception:Definition
- True_Misconception:Denominator-only_change
- True_Misconception:Division
- True_Misconception:Duplication
- True_Misconception:Firstterm
- True_Misconception:FlipChange
- True_Misconception:Incomplete
- True_Misconception:Incorrect_equivalent_fraction_addition
- True_Misconception:Inversion
- True_Misconception:Irrelevant
- True_Misconception:Longer_is_bigger
- True_Misconception:Mult
- True_Misconception:Multiplying_by_4
- True_Misconception:Not_variable
- True_Misconception:Positive
- True_Misconception:Shorter_is_bigger
- True_Misconception:Subtraction
- True_Misconception:SwapDividend
- True_Misconception:Tacking
- True_Misconception:WNB
- True_Misconception:Whole_numbers_larger
- True_Misconception:Wrong_fraction
- True_Misconception:Wrong_term
- True_Neither:NA

Classification:",True_Correct:NA
9,"You are an expert math educator analyzing student responses for mathematical misconceptions.

Question: What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.]
Correct Answer: \( \frac{1}{3} \)
Student's Explanation: 1/3 because it 3 shadedd in not all of them

CLASSIFICATION GUIDELINES:
• True_Correct:NA = Student demonstrates correct understanding
• False_Correct:NA = Student gives correct answer but for wrong reasons  
• True_Neither:NA = Correct answer but unclear/incomplete reasoning
• False_Neither:NA = Incorrect answer but no specific misconception identified
• True_Misconception:[Type] = Correct answer but demonstrates specific misconception
• False_Misconception:[Type] = Incorrect answer with identifiable misconception

TASK: Classify this student's response using EXACTLY ONE of these 65 labels:

- False_Correct:NA
- False_Misconception:Adding_across
- False_Misconception:Adding_terms
- False_Misconception:Additive
- False_Misconception:Base_rate
- False_Misconception:Certainty
- False_Misconception:Definition
- False_Misconception:Denominator-only_change
- False_Misconception:Division
- False_Misconception:Duplication
- False_Misconception:Firstterm
- False_Misconception:FlipChange
- False_Misconception:Ignores_zeroes
- False_Misconception:Incomplete
- False_Misconception:Incorrect_equivalent_fraction_addition
- False_Misconception:Interior
- False_Misconception:Inverse_operation
- False_Misconception:Inversion
- False_Misconception:Irrelevant
- False_Misconception:Longer_is_bigger
- False_Misconception:Mult
- False_Misconception:Multiplying_by_4
- False_Misconception:Not_variable
- False_Misconception:Positive
- False_Misconception:Scale
- False_Misconception:Shorter_is_bigger
- False_Misconception:Subtraction
- False_Misconception:SwapDividend
- False_Misconception:Tacking
- False_Misconception:Unknowable
- False_Misconception:WNB
- False_Misconception:Whole_numbers_larger
- False_Misconception:Wrong_Fraction
- False_Misconception:Wrong_Operation
- False_Misconception:Wrong_fraction
- False_Misconception:Wrong_term
- False_Neither:NA
- True_Correct:NA
- True_Misconception:Adding_across
- True_Misconception:Additive
- True_Misconception:Base_rate
- True_Misconception:Definition
- True_Misconception:Denominator-only_change
- True_Misconception:Division
- True_Misconception:Duplication
- True_Misconception:Firstterm
- True_Misconception:FlipChange
- True_Misconception:Incomplete
- True_Misconception:Incorrect_equivalent_fraction_addition
- True_Misconception:Inversion
- True_Misconception:Irrelevant
- True_Misconception:Longer_is_bigger
- True_Misconception:Mult
- True_Misconception:Multiplying_by_4
- True_Misconception:Not_variable
- True_Misconception:Positive
- True_Misconception:Shorter_is_bigger
- True_Misconception:Subtraction
- True_Misconception:SwapDividend
- True_Misconception:Tacking
- True_Misconception:WNB
- True_Misconception:Whole_numbers_larger
- True_Misconception:Wrong_fraction
- True_Misconception:Wrong_term
- True_Neither:NA

Classification:",True_Neither:NA
